Ref,Val,Package,PosX,PosY,Rot,Side
"C2","C0603_100nF_16V_X7R","C_0603_1608Metric",120.300000,-74.700000,180.000000,bottom
"C4","C0603_100nF_16V_X7R","C_0603_1608Metric",156.550000,-80.400000,0.000000,bottom
"C5","C0603_100nF_16V_X7R","C_0603_1608Metric",106.000000,-81.200000,-90.000000,bottom
"C6","C1210_10µF_50V_X5R","C_1210_3225Metric",117.350000,-68.200000,0.000000,bottom
"C7","C1210_100µF_16V_X5R","C_1210_3225Metric",119.400000,-77.450000,0.000000,bottom
"F17","Polyfuse","Fuse_1812_4532Metric",111.700000,-68.300000,0.000000,bottom
"R1","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",111.800000,-112.800000,90.000000,bottom
"R2","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",118.900000,-113.000000,90.000000,bottom
"R3","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",126.200000,-112.900000,90.000000,bottom
"R4","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",133.300000,-113.000000,90.000000,bottom
"R5","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",140.500000,-113.000000,90.000000,bottom
"R6","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",147.400000,-113.000000,90.000000,bottom
"R7","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",154.500000,-112.900000,90.000000,bottom
"R22","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",123.200000,-86.400000,-90.000000,bottom
"R23","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",124.700000,-86.400000,-90.000000,bottom
"R26","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",126.200000,-86.400000,-90.000000,bottom
"R27","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",127.700000,-86.400000,-90.000000,bottom
