Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C0603_100nF_16V_X7R","C_0603_1608Metric",176.900000,-93.900000,0.000000,top
"C3","C0603_100nF_16V_X7R","C_0603_1608Metric",116.100000,-88.200000,0.000000,top
"F1","Polyfuse","Fuse_1812_4532Metric",110.400000,-124.500000,-90.000000,top
"F2","Polyfuse","Fuse_1812_4532Metric",116.900000,-124.500000,-90.000000,top
"F3","Polyfuse","Fuse_1812_4532Metric",123.700000,-124.500000,-90.000000,top
"F4","Polyfuse","Fuse_1812_4532Metric",131.100000,-124.500000,-90.000000,top
"F5","Polyfuse","Fuse_1812_4532Metric",138.200000,-124.500000,-90.000000,top
"F6","Polyfuse","Fuse_1812_4532Metric",145.000000,-124.600000,-90.000000,top
"F7","Polyfuse","Fuse_1812_4532Metric",157.200000,-124.600000,-90.000000,top
"F8","Polyfuse","Fuse_1812_4532Metric",163.900000,-124.562500,-90.000000,top
"F9","Polyfuse","Fuse_1812_4532Metric",170.700000,-124.600000,-90.000000,top
"F10","Polyfuse","Fuse_1812_4532Metric",177.700000,-124.600000,-90.000000,top
"F11","Polyfuse","Fuse_1812_4532Metric",185.000000,-124.600000,-90.000000,top
"F12","Polyfuse","Fuse_1812_4532Metric",192.000000,-124.500000,-90.000000,top
"F13","Polyfuse","Fuse_1812_4532Metric",191.800000,-70.500000,90.000000,top
"F14","Polyfuse","Fuse_1812_4532Metric",185.300000,-70.500000,90.000000,top
"F15","Polyfuse","Fuse_1812_4532Metric",178.100000,-70.500000,90.000000,top
"F16","Polyfuse","Fuse_1812_4532Metric",171.200000,-70.500000,90.000000,top
"J1","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Horizontal",104.100000,-91.000000,0.000000,top
"J2","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",140.400000,-99.860000,90.000000,top
"J3","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Horizontal",197.025000,-91.000000,0.000000,top
"MOD1","~","ZD1006",101.175000,-97.370000,0.000000,top
"Q1","QM6006D","TO-252-2",111.520000,-116.440000,-90.000000,top
"Q2","QM6006D","TO-252-2",118.700000,-116.440000,-90.000000,top
"Q3","QM6006D","TO-252-2",125.900000,-116.440000,-90.000000,top
"Q4","QM6006D","TO-252-2",133.020000,-116.440000,-90.000000,top
"Q5","QM6006D","TO-252-2",140.200000,-116.440000,-90.000000,top
"Q6","QM6006D","TO-252-2",147.400000,-116.440000,-90.000000,top
"Q7","QM6006D","TO-252-2",154.545000,-116.415000,-90.000000,top
"Q8","QM6006D","TO-252-2",161.745000,-116.415000,-90.000000,top
"Q9","QM6006D","TO-252-2",168.995000,-116.415000,-90.000000,top
"Q10","QM6006D","TO-252-2",176.245000,-116.415000,-90.000000,top
"Q11","QM6006D","TO-252-2",183.420000,-116.440000,-90.000000,top
"Q12","QM6006D","TO-252-2",190.645000,-116.440000,-90.000000,top
"Q13","QM6006D","TO-252-2",190.480000,-78.660000,90.000000,top
"Q14","QM6006D","TO-252-2",183.280000,-78.660000,90.000000,top
"Q15","QM6006D","TO-252-2",176.020000,-78.660000,90.000000,top
"Q16","QM6006D","TO-252-2",168.780000,-78.660000,90.000000,top
"Q17","BSS138","SOT-23",154.662500,-94.900000,0.000000,top
"Q18","BSS138","SOT-23",154.662500,-91.400000,0.000000,top
"Q19","BSS138","SOT-23",158.887500,-102.500000,90.000000,top
"Q20","BSS138","SOT-23",143.787500,-89.412500,90.000000,top
"R8","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",164.020000,-108.400000,-90.000000,top
"R9","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",171.320000,-108.400000,-90.000000,top
"R10","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",178.520000,-108.400000,-90.000000,top
"R11","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",185.720000,-108.400000,-90.000000,top
"R12","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",192.920000,-108.425000,-90.000000,top
"R13","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",188.200000,-86.700000,90.000000,top
"R14","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",181.000000,-86.675000,90.000000,top
"R15","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",173.700000,-86.700000,90.000000,top
"R16","R0603_1k_1%_100mW_100PPM_AC","R_0603_1608Metric",166.500000,-86.700000,90.000000,top
"R17","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",152.300000,-84.100000,0.000000,top
"R18","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",159.000000,-95.700000,90.000000,top
"R19","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",151.800000,-95.000000,-90.000000,top
"R20","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",151.800000,-91.500000,-90.000000,top
"R21","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",159.000000,-90.600000,-90.000000,top
"R24","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",129.500000,-68.800000,0.000000,top
"R25","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",129.600000,-74.600000,0.000000,top
"R28","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",157.120000,-71.325000,180.000000,top
"R29","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",157.120000,-77.125000,180.000000,top
"R30","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",182.500000,-93.100000,-90.000000,top
"R31","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",186.000000,-93.200000,-90.000000,top
"R32","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",184.200000,-93.100000,-90.000000,top
"R33","R0603_4.7k_1%_100mW_100PPM_AC","R_0603_1608Metric",108.400000,-91.000000,0.000000,top
"R34","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",143.700000,-92.200000,0.000000,top
"R35","R0603_10k_1%_100mW_100PPM_AC","R_0603_1608Metric",147.300000,-88.500000,180.000000,top
"R36","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",129.600000,-77.200000,0.000000,top
"R37","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",129.600000,-71.400000,0.000000,top
"R38","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",157.200000,-68.800000,180.000000,top
"R39","R0805_1.5k_1%_125mW_100PPM_AC","R_0805_2012Metric",157.200000,-74.600000,180.000000,top
"U1","PCA9635","TSSOP-28_4.4x9.7mm_P0.65mm",173.462500,-99.800000,0.000000,top
"U2","ESP32-DEVKITC-32UE","ESPRESSIF_ESP32-DEVKITC-32UE",130.800000,-93.100000,-90.000000,top
"U3","PC817","DIP-4_W7.62mm",132.700000,-68.825000,0.000000,top
"U4","MCP23008-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",121.962500,-95.000000,90.000000,top
"U5","PC817","DIP-4_W7.62mm",132.700000,-74.625000,0.000000,top
"U6","PC817","DIP-4_W7.62mm",154.220000,-71.300000,180.000000,top
"U7","PC817","DIP-4_W7.62mm",154.220000,-77.100000,180.000000,top
"U8","R-78E5.0-1.0","Converter_DCDC_RECOM_R-78E-0.5_THT",112.753000,-74.700000,0.000000,top
